Trading_Date,Highest_Rate,Lowest_Rate
2-Jan-18,4.045,4.0175
3-Jan-18,4.028,4.014
4-Jan-18,4.028,4.006
5-Jan-18,4.005,3.99
8-Jan-18,3.999,3.986
9-Jan-18,4.01,3.998
10-Jan-18,4.015,4.003
11-Jan-18,4.005,3.985
12-Jan-18,3.98,3.97
15-Jan-18,3.967,3.954
16-Jan-18,3.964,3.95
17-Jan-18,3.956,3.944
18-Jan-18,3.965,3.954
19-Jan-18,3.952,3.935
22-Jan-18,3.944,3.93
23-Jan-18,3.935,3.925
24-Jan-18,3.922,3.912
25-Jan-18,3.9065,3.887
26-Jan-18,3.895,3.869
29-Jan-18,3.8855,3.866
30-Jan-18,3.8995,3.885
2-Feb-18,3.89,3.885
5-Feb-18,3.901,3.895
6-Feb-18,3.918,3.907
7-Feb-18,3.915,3.897
8-Feb-18,3.927,3.919
9-Feb-18,3.943,3.93
12-Feb-18,3.94,3.9245
13-Feb-18,3.94,3.93
14-Feb-18,3.937,3.918
15-Feb-18,3.9,3.888
19-Feb-18,3.895,3.8855
20-Feb-18,3.905,3.892
23-Feb-18,3.9205,3.892
26-Feb-18,3.915,3.903
28-Feb-18,3.927,3.916
1-Mar-18,3.931,3.9245
2-Mar-18,3.921,3.903
5-Mar-18,3.907,3.889
6-Mar-18,3.906,3.895
7-Mar-18,3.906,3.895
8-Mar-18,3.9095,3.899
9-Mar-18,3.92,3.91
12-Mar-18,3.909,3.902
13-Mar-18,3.907,3.898
14-Mar-18,3.906,3.891
15-Mar-18,3.92,3.9
16-Mar-18,3.927,3.906
19-Mar-18,3.918,3.913
20-Mar-18,3.919,3.911
21-Mar-18,3.9265,3.922
22-Mar-18,3.915,3.901
23-Mar-18,3.919,3.912
26-Mar-18,3.915,3.893
27-Mar-18,3.89,3.87
28-Mar-18,3.873,3.855
29-Mar-18,3.87,3.866
30-Mar-18,3.865,3.857
2-Apr-18,3.8645,3.853
4-Apr-18,3.87,3.862
5-Apr-18,3.87,3.865
6-Apr-18,3.872,3.869
9-Apr-18,3.871,3.862
10-Apr-18,3.869,3.8615
11-Apr-18,3.874,3.865
12-Apr-18,3.878,3.871
13-Apr-18,3.881,3.878
16-Apr-18,3.89,3.88
17-Apr-18,3.89,3.881
18-Apr-18,3.893,3.888
19-Apr-18,3.892,3.8855
20-Apr-18,3.895,3.89
23-Apr-18,3.9,3.895
24-Apr-18,3.909,3.9
25-Apr-18,3.913,3.9085
26-Apr-18,3.92,3.917
27-Apr-18,3.922,3.918
30-Apr-18,3.922,3.916
2-May-18,3.933,3.9255
3-May-18,3.94,3.932
4-May-18,3.94,3.932
7-May-18,3.945,3.939
15-May-18,3.958,3.9475
16-May-18,3.969,3.96
17-May-18,3.97,3.965
18-May-18,3.978,3.97
21-May-18,3.981,3.9745
22-May-18,3.977,3.965
23-May-18,3.98,3.972
24-May-18,3.988,3.979
25-May-18,3.985,3.978
28-May-18,3.984,3.98
30-May-18,3.995,3.9885
31-May-18,3.985,3.973
1-Jun-18,3.9845,3.977
4-Jun-18,3.98,3.967
5-Jun-18,3.9765,3.9685
7-Jun-18,3.983,3.97
8-Jun-18,3.989,3.979
11-Jun-18,3.988,3.984
12-Jun-18,3.995,3.988
13-Jun-18,3.9999,3.993
14-Jun-18,3.995,3.9835
18-Jun-18,3.9998,3.994
19-Jun-18,4.003,3.998
20-Jun-18,4.013,4.002
21-Jun-18,4.017,4.005
25-Jun-18,4.019,4.008
26-Jun-18,4.025,4.0185
27-Jun-18,4.031,4.025
28-Jun-18,4.045,4.035
29-Jun-18,4.046,4.0355
2-Jul-18,4.042,4.036
3-Jul-18,4.0505,4.043
4-Jul-18,4.048,4.042
5-Jul-18,4.047,4.042
6-Jul-18,4.047,4.035
9-Jul-18,4.0385,4.027
10-Jul-18,4.025,4.007
11-Jul-18,4.038,4.023
12-Jul-18,4.047,4.037
13-Jul-18,4.052,4.037
16-Jul-18,4.053,4.044
17-Jul-18,4.049,4.043
18-Jul-18,4.061,4.055
19-Jul-18,4.065,4.054
20-Jul-18,4.067,4.058
23-Jul-18,4.0645,4.045
24-Jul-18,4.07,4.065
25-Jul-18,4.0655,4.054
26-Jul-18,4.0675,4.045
27-Jul-18,4.072,4.061
30-Jul-18,4.068,4.059
31-Jul-18,4.067,4.055
1-Aug-18,4.069,4.061
2-Aug-18,4.077,4.065
3-Aug-18,4.084,4.08
6-Aug-18,4.081,4.075
7-Aug-18,4.087,4.076
8-Aug-18,4.079,4.073
9-Aug-18,4.078,4.067
13-Aug-18,4.097,4.09
14-Aug-18,4.097,4.094
15-Aug-18,4.104,4.097
16-Aug-18,4.106,4.095
17-Aug-18,4.106,4.099
20-Aug-18,4.104,4.097
21-Aug-18,4.099,4.091
23-Aug-18,4.106,4.1
24-Aug-18,4.111,4.107
27-Aug-18,4.103,4.092
28-Aug-18,4.098,4.09
29-Aug-18,4.107,4
30-Aug-18,4.11,4.103
3-Sep-18,4.13,4.115
4-Sep-18,4.1395,4.133
5-Sep-18,4.148,4.14
6-Sep-18,4.148,4.143
7-Sep-18,4.1475,4.14
12-Sep-18,4.151,4.145
13-Sep-18,4.147,4.137
14-Sep-18,4.143,4.138
18-Sep-18,4.148,4.143
19-Sep-18,4.1455,4.142
20-Sep-18,4.142,4.1355
21-Sep-18,4.133,4.128
24-Sep-18,4.135,4.13
25-Sep-18,4.1375,4.132
26-Sep-18,4.142,4.138
27-Sep-18,4.144,4.137
28-Sep-18,4.145,4.1355
1-Oct-18,4.144,4.139
2-Oct-18,4.143,4.138
3-Oct-18,4.141,4.138
4-Oct-18,4.1485,4.145
5-Oct-18,4.1485,4.143
8-Oct-18,4.155,4.1485
9-Oct-18,4.1585,4.155
10-Oct-18,4.153,4.15
11-Oct-18,4.1595,4.152
12-Oct-18,4.1565,4.152
15-Oct-18,4.159,4.156
16-Oct-18,4.156,4.151
17-Oct-18,4.154,4.149
18-Oct-18,4.159,4.155
19-Oct-18,4.162,4.157
22-Oct-18,4.16,4.155
23-Oct-18,4.165,4.16
24-Oct-18,4.1665,4.162
26-Oct-18,4.177,4.1715
29-Oct-18,4.18,4.175
30-Oct-18,4.182,4.18
31-Oct-18,4.185,4.182
1-Nov-18,4.186,4.178
2-Nov-18,4.175,4.16
5-Nov-18,4.178,4.165
7-Nov-18,4.174,4.1635
9-Nov-18,4.18,4.173
12-Nov-18,4.189,4.182
13-Nov-18,4.1965,4.19
14-Nov-18,4.196,4.185
15-Nov-18,4.197,4.186
16-Nov-18,4.195,4.1875
19-Nov-18,4.192,4.185
21-Nov-18,4.2,4.193
23-Nov-18,4.198,4.19
26-Nov-18,4.1965,4.186
27-Nov-18,4.195,4.186
28-Nov-18,4.2025,4.193
29-Nov-18,4.195,4.183
30-Nov-18,4.1895,4.183
3-Dec-18,4.18,4.165
4-Dec-18,4.165,4.148
5-Dec-18,4.158,4.152
6-Dec-18,4.1675,4.156
7-Dec-18,4.168,4.16
10-Dec-18,4.173,4.165
12-Dec-18,4.187,4.18
17-Dec-18,4.19,4.179
18-Dec-18,4.179,4.175
19-Dec-18,4.183,4.1775
20-Dec-18,4.187,4.177
21-Dec-18,4.181,4.178
24-Dec-18,4.187,4.182
28-Dec-18,4.163,4.153
31-Dec-18,4.148,4.133
2-Jan-19,4.142,4.134
3-Jan-19,4.149,4.141
4-Jan-19,4.143,4.137
7-Jan-19,4.125,4.109
8-Jan-19,4.12,4.105
9-Jan-19,4.117,4.111
10-Jan-19,4.107,4.092
11-Jan-19,4.102,4.094
14-Jan-19,4.105,4.094
15-Jan-19,4.106,4.096
16-Jan-19,4.117,4.107
17-Jan-19,4.118,4.104
18-Jan-19,4.1175,4.108
22-Jan-19,4.135,4.121
23-Jan-19,4.141,4.132
24-Jan-19,4.146,4.1325
28-Jan-19,4.115,4.106
29-Jan-19,4.115,4.11
30-Jan-19,4.111,4.103
